차량 모델 ,공항 픽업 (2시간/15km),4시간/55km,8시간/100km,시간 초과 (시간당),KM 초과 (km당)
일반 차량,,,,,
기아 세도나,"1,000,000VND","1,200,000VND","1,800,000VND","150,000VND","10,000VND"
기아 카니발 프리미엄,"1,200,000VND","1,800,000VND","2,500,000VND","200,000VND","15,000VND"
기아 카니발 시그니처,"1,200,000VND","2,000,000VND","2,700,000VND","200,000VND","15,000VND"
기아 카니발 프리미엄 F/L,"1,500,000VND","2,200,000VND","3,200,000VND","300,000VND","20,000VND"
기아 카니발 시그니처 F/L,"1,500,000VND","2,500,000VND","3,500,000VND","300,000VND","20,000VND"
현대 펠리세이드,"2,000,000VND","2,800,000VND","4,000,000VND","400,000VND","20,000VND"
수입차량,,,,,
폭스바겐 비로란,"2,000,000VND","3,500,000VND","5,000,000VND","400,000VND","20,000VND"
아우디 Q5,"1,200,000VND","2,000,000VND","3,000,000VND","300,000VND","20,000VND"
레인지로버 이보크,"1,200,000VND","2,300,000VND","3,700,000VND","400,000VND","20,000VND"
렉서스 RX350,"1,200,000VND","2,300,000VND","3,700,000VND","400,000VND","20,000VND"
벤츠 GLC200/벤츠 E200,"1,500,000VND","2,500,000VND","3,900,000VND","400,000VND","20,000VND"
벤츠 E180 F/L,"1,800,000VND","2,800,000VND","4,000,000VND","500,000VND","24,000VND"
벤츠 S450L Luxury ,"2,000,000VND","4,400,000VND","6,400,000VND","800,000VND","40,000VND"
벤츠 S500,"2,500,000VND","5,500,000VND","8,000,000VND","800,000VND","40,000VND"
벤츠 S65 AMG,"2,800,000VND","6,000,000VND","9,000,000VND","800,000VND","40,000VND"
벤츠 마이바흐 S680,"15,000,000VND","49,000,000VND","79,000,000VND","8,000,000VND","500,000VND"
롤스로이스 고스트,"15,000,000VND","49,000,000VND","79,000,000VND","8,000,000VND","500,000VND"
아우디 Q7,"3,000,000VND","6,000,000VND","8,800,000VND","800,000VND","40,000VND"
렉서스 GX460,"3,000,000VND","6,000,000VND","8,800,000VND","800,000VND","40,000VND"
벤츠 V250,"3,500,000VND","6,000,000VND","8,800,000VND","800,000VND","50,000VND"
도요타 시에나 VIP시트,"3,500,000VND","6,000,000VND","8,800,000VND","800,000VND","50,000VND"
도요타 알파드,"5,000,000VND","8,000,000VND","12,000,000VND","1,000,000VND","80,000VND"
리무진 차량,,,,,
포드 리무진 9인승,"1,200,000VND","2,000,000VND","2,800,000VND","200,000VND","15,000VND"
현대 솔라티 9인승,"1,200,000VND","2,200,000VND","3,000,000VND","200,000VND","15,000VND"
포드 리무진 12인승,"1,500,000VND","3,000,000VND","3,500,000VND","200,000VND","15,000VND"
포드 리무진 18인승,"3,000,000VND","4,000,000VND","5,000,000VND","300,000VND","25,000VND"
포드 리무진 29인승,"3,500,000VND","5,000,000VND","6,500,000VND","350,000VND","25,000VND"
포드 트랜짓 16인승,"1,200,000VND","1,600,000VND","2,200,000VND","150,000VND","10,000VND"
현대 솔라티 16인승,"1,500,000VND","1,900,000VND","2,500,000VND","150,000VND","10,000VND"